Average line coverage per class (CE counts as zero coverage): 0.43562500000000015
Average branch coverage per class (CE counts as zero coverage): 0.34828124999999993
Average line coverage per class (ignore tests with CE): 0.44734375000000015
Average branch coverage per class (ignore tests with CE): 0.36015624999999996

Results per classes (CE counts as zero coverage):
io.seata.core.rpc.DefaultServerMessageListenerImpl: average lines 0.30 | average branches 0.10 | min lines 0.30 | min branches 0.10 | max lines 0.30 | max branches 0.10
io.seata.core.rpc.netty.NettyPoolableFactory: average lines 0.23 | average branches 0.19 | min lines 0.23 | min branches 0.19 | max lines 0.23 | max branches 0.19
io.seata.core.rpc.netty.RmRpcClient: average lines 0.23 | average branches 0.11 | min lines 0.23 | min branches 0.11 | max lines 0.23 | max branches 0.11
io.seata.core.rpc.netty.RpcServer: average lines 0.25 | average branches 0.20 | min lines 0.25 | min branches 0.20 | max lines 0.25 | max branches 0.20
io.seata.core.rpc.netty.RpcServerHandler: average lines 0.26 | average branches 0.00 | min lines 0.26 | min branches 0.00 | max lines 0.26 | max branches 0.00
io.seata.core.rpc.netty.ShutdownHook: average lines 0.66 | average branches 0.38 | min lines 0.66 | min branches 0.38 | max lines 0.66 | max branches 0.38
io.seata.core.rpc.netty.TmRpcClient: average lines 0.06 | average branches 0.03 | min lines 0.04 | min branches 0.02 | max lines 0.11 | max branches 0.05
io.seata.core.rpc.RpcContext: average lines 0.55 | average branches 0.41 | min lines 0.55 | min branches 0.41 | max lines 0.55 | max branches 0.44
io.seata.core.store.StoreMode: average lines 1.00 | average branches 1.00 | min lines 1.00 | min branches 1.00 | max lines 1.00 | max branches 1.00
spoon.pattern.internal.node.MapEntryNode: average lines 0.85 | average branches 0.75 | min lines 0.85 | min branches 0.75 | max lines 0.85 | max branches 0.75
spoon.reflect.factory.TypeFactory: average lines 0.64 | average branches 0.46 | min lines 0.62 | min branches 0.44 | max lines 0.65 | max branches 0.49
spoon.reflect.visitor.AstParentConsistencyChecker: average lines 0.87 | average branches 1.00 | min lines 0.87 | min branches 1.00 | max lines 0.87 | max branches 1.00
spoon.reflect.visitor.filter.CompositeFilter: average lines 0.05 | average branches 0.03 | min lines 0.00 | min branches 0.00 | max lines 0.41 | max branches 0.25
spoon.reflect.visitor.filter.LineFilter: average lines 0.45 | average branches 0.31 | min lines 0.45 | min branches 0.31 | max lines 0.45 | max branches 0.31
spoon.reflect.visitor.ModelConsistencyChecker: average lines 0.47 | average branches 0.24 | min lines 0.00 | min branches 0.00 | max lines 0.54 | max branches 0.32
spoon.reflect.visitor.PrintingContext: average lines 1.00 | average branches 0.96 | min lines 1.00 | min branches 0.96 | max lines 1.00 | max branches 0.96
spoon.support.compiler.jdt.JDTBatchCompiler: average lines 0.16 | average branches 0.13 | min lines 0.16 | min branches 0.13 | max lines 0.16 | max branches 0.13
spoon.support.compiler.jdt.JDTSnippetCompiler: average lines 0.56 | average branches 0.50 | min lines 0.56 | min branches 0.50 | max lines 0.56 | max branches 0.50
spoon.support.DefaultCoreFactory: average lines 0.39 | average branches 0.38 | min lines 0.25 | min branches 0.00 | max lines 0.44 | max branches 0.50
spoon.support.reflect.code.CtAssignmentImpl: average lines 0.98 | average branches 1.00 | min lines 0.98 | min branches 1.00 | max lines 0.98 | max branches 1.00
